Year,Total,Married
2020,136162,69341
2019,135554,69254
2018,134825,68530
2017,133403,68082
2016,132662,67450
2015,131395,67217
2014,129871,66732
2013,128826,66287
2012,127695,66049
2011,126605,65772
2011,125030,65000
2010,124361,65197
2009,123366,65604
2008,122394,64638
2007,121368,65202
2006,119966,64121
2005,118681,63901
2004,117295,63345
2003,116361,62892
2002,114639,62102
2001,113451,61889
2000,110660,60527
1999,109628,60001
1998,108168,59333
1997,107076,58829
1996,106031,58905
1995,105028,58984
1994,104032,58185
1993,102400,57768
1990,99838,56797
1980,89914,52965
1970,77766,48148
1960,64607,42583
1950,57102,37577
